MonthlyIncome,Age,OverTime,TotalWorkingYears,DailyRate,HourlyRate,MonthlyRate,EmployeeNumber,DistanceFromHome,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,YearsWithCurrManager,EnvironmentSatisfaction,JobRole,Attrition
2380,58,Yes,3,781,57,13384,918,2,1,9,14,0,Very High,Laboratory Technician,Yes
4765,43,No,4,177,55,23814,920,8,1,4,21,0,Low,Manufacturing Director,No
2044,20,No,2,500,49,22052,922,2,2,1,13,2,High,Sales Representative,Yes
2693,21,No,1,1427,65,8870,923,18,1,1,19,0,Very High,Research Scientist,Yes
6586,36,Yes,17,1425,68,4821,924,14,16,0,17,11,High,Healthcare Representative,No
3294,47,Yes,3,1454,65,13137,925,2,3,1,18,2,Very High,Sales Representative,No
4171,22,Yes,4,617,34,10022,926,3,3,0,19,2,Medium,Manufacturing Director,Yes
2778,41,Yes,10,1085,57,17725,927,2,7,4,13,0,Medium,Laboratory Technician,Yes
2377,28,No,6,995,77,9834,930,9,2,5,18,2,High,Research Scientist,No
2404,39,Yes,8,1122,70,4303,932,6,2,7,21,2,Very High,Laboratory Technician,Yes
2318,27,No,1,618,76,17808,933,4,1,1,19,0,Medium,Research Scientist,No
2008,34,No,1,546,83,6896,934,10,1,1,14,0,Medium,Laboratory Technician,No
6244,42,No,10,462,68,7824,936,14,5,7,17,3,High,Sales Executive,No
2799,33,Yes,6,1198,100,3339,939,1,3,3,11,2,High,Research Scientist,No
10552,58,Yes,24,1272,37,9255,940,5,6,2,13,4,High,Healthcare Representative,No
2329,31,No,13,154,41,11737,941,7,7,3,15,2,Medium,Sales Representative,No
4014,35,Yes,10,1137,51,19170,942,21,10,1,25,7,Very High,Healthcare Representative,No
7403,49,No,29,527,51,22477,944,8,26,4,11,7,Low,Laboratory Technician,No
2259,48,No,13,1469,51,5543,945,20,0,4,17,0,Very High,Research Scientist,No
6932,31,No,9,1188,45,24406,947,20,9,1,13,0,Very High,Sales Executive,No
4678,36,No,8,188,65,23293,949,7,6,2,18,1,Medium,Research Scientist,No
13582,38,No,15,1333,80,16292,950,1,15,1,13,11,Very High,Research Director,No
2332,32,No,5,1184,70,3974,951,1,3,6,20,2,High,Laboratory Technician,No
2413,25,Yes,1,867,36,18798,952,19,1,1,18,0,High,Sales Representative,Yes
9705,40,No,11,658,67,20652,954,10,1,2,12,0,Low,Sales Executive,No
4294,26,No,7,1283,52,11148,956,1,7,1,12,7,High,Sales Executive,No
4721,41,Yes,20,263,59,3119,957,6,18,2,13,17,Very High,Laboratory Technician,No
2519,36,No,16,938,79,12287,958,2,11,4,21,9,High,Laboratory Technician,No
2121,19,Yes,1,419,37,9947,959,21,1,1,13,0,Very High,Sales Representative,Yes
2973,20,No,1,129,84,13008,960,4,1,1,19,0,Low,Laboratory Technician,Yes
5855,31,Yes,10,616,41,17369,961,12,9,0,11,5,Very High,Healthcare Representative,No
3617,40,Yes,3,1469,35,25063,964,9,1,8,14,0,Very High,Research Scientist,No
6725,32,No,8,498,93,13554,966,3,8,1,12,3,High,Manufacturing Director,No
10325,36,Yes,16,530,51,5518,967,3,16,1,11,7,High,Sales Executive,Yes
6949,33,No,6,1069,42,12291,969,1,5,0,14,4,Medium,Healthcare Representative,No
10609,37,No,17,625,46,14922,970,1,14,5,11,7,Low,Sales Executive,Yes
4447,45,No,9,805,57,23163,972,4,9,1,12,8,High,Laboratory Technician,No
2157,29,No,3,1404,84,18203,974,20,3,1,15,2,High,Sales Representative,No
4601,35,No,5,1219,86,6179,975,18,5,1,16,0,High,Sales Executive,No
17099,52,No,26,1053,70,13829,976,1,9,2,15,8,Very High,Manager,No
2479,58,No,7,289,51,26227,977,2,1,4,24,0,Very High,Research Scientist,Yes
14852,53,No,22,1376,45,13938,981,2,17,6,13,2,High,Manager,No
7264,30,No,10,231,62,9977,982,8,8,5,11,7,High,Sales Executive,No
5666,38,Yes,6,152,85,19899,983,10,5,1,13,3,High,Sales Executive,No
7823,35,No,12,882,92,6812,984,3,10,6,13,8,Very High,Sales Executive,No
7880,39,No,9,903,41,2560,985,2,8,0,18,7,Low,Sales Executive,No
13194,40,Yes,22,1479,100,17071,986,24,1,4,16,0,Medium,Sales Executive,Yes
5067,47,Yes,20,1379,64,6759,987,16,19,1,19,7,High,Manufacturing Director,No
5079,36,No,12,1229,84,25952,990,8,7,4,13,7,Low,Sales Executive,No
2321,31,Yes,4,335,46,10322,991,9,3,0,22,2,High,Research Scientist,Yes
17444,33,No,10,722,38,20489,992,17,10,1,11,0,Very High,Manager,No
2404,29,Yes,3,906,92,11479,994,10,0,6,20,0,Very High,Research Scientist,Yes
3452,33,No,5,461,53,17241,995,13,3,3,18,2,Medium,Research Scientist,No
2270,45,No,8,974,91,11005,996,1,5,3,14,2,Very High,Laboratory Technician,No
17399,50,No,32,1126,66,6615,997,1,5,9,22,3,Very High,Research Director,No
5488,33,Yes,6,827,84,20161,998,1,6,1,13,2,High,Healthcare Representative,No
19419,41,No,21,840,64,3735,999,9,18,2,17,11,Low,Research Director,No
2811,27,No,4,1134,37,12086,1001,16,2,9,14,2,High,Laboratory Technician,No
3633,45,Yes,9,248,42,14039,1002,23,9,1,15,8,Very High,Laboratory Technician,No
4163,47,Yes,9,955,83,8571,1003,4,9,1,17,7,Very High,Sales Executive,No
2132,30,Yes,7,138,48,11539,1004,22,5,4,11,1,Low,Research Scientist,Yes
13973,50,Yes,22,939,95,4161,1005,24,12,3,18,5,Very High,Manufacturing Director,No
2684,38,No,3,1391,66,12127,1006,10,2,0,17,2,High,Research Scientist,No
10845,46,No,13,566,75,24208,1007,7,8,6,13,7,Very High,Manufacturing Director,No
4377,24,No,5,1206,41,24117,1009,17,4,1,15,2,Very High,Manufacturing Director,No
3743,35,Yes,5,622,39,10074,1010,14,4,1,24,2,High,Laboratory Technician,Yes
4148,31,No,4,853,96,11275,1011,1,4,1,12,3,High,Manufacturing Director,No
1051,18,No,0,287,73,13493,1012,5,0,1,15,0,Medium,Research Scientist,No
10739,54,No,22,1441,56,13943,1013,17,10,8,11,8,High,Manufacturing Director,No
10388,35,Yes,16,583,57,6975,1014,25,16,1,11,1,High,Healthcare Representative,No
11416,30,Yes,9,153,73,17802,1015,8,8,0,12,7,Medium,Research Director,No
2600,20,Yes,1,1097,98,18275,1016,11,1,1,15,0,Very High,Research Scientist,Yes
2422,30,No,4,109,60,25725,1017,5,3,0,17,2,Medium,Laboratory Technician,Yes
5472,26,No,8,1066,32,3334,1018,2,8,1,12,3,Very High,Manufacturing Director,No
2451,22,No,4,217,94,6881,1019,8,4,1,15,1,Medium,Laboratory Technician,No
4240,48,No,19,277,97,13119,1022,6,2,2,13,2,Low,Healthcare Representative,No
10999,48,No,27,1355,78,22245,1024,4,15,7,14,8,High,Healthcare Representative,No
5003,41,No,8,549,42,23371,1025,7,2,6,14,1,Very High,Manufacturing Director,No
12742,39,No,21,466,65,7060,1026,1,21,1,16,8,Very High,Manufacturing Director,No
4227,27,No,4,1055,47,4658,1027,2,3,0,18,2,Low,Manufacturing Director,No
3917,35,No,3,802,45,9541,1028,10,3,1,20,2,Medium,Laboratory Technician,No
18303,42,No,21,265,90,7770,1029,5,1,6,13,0,Very High,Manager,No
2380,50,No,8,804,64,20165,1030,9,1,4,18,0,Low,Laboratory Technician,No
13726,59,Yes,30,715,69,21829,1032,2,5,3,13,3,High,Manufacturing Director,No
4777,37,No,15,1141,61,14382,1033,11,1,5,15,0,Low,Healthcare Representative,Yes
6385,55,Yes,17,135,62,12992,1034,18,8,3,14,7,High,Healthcare Representative,No
19973,41,No,21,247,55,20284,1035,7,21,1,22,10,Medium,Research Director,No
6861,38,Yes,19,1035,42,4981,1036,3,1,8,12,0,Medium,Sales Executive,No
4969,26,No,7,265,79,21813,1037,29,2,8,18,2,Medium,Sales Executive,Yes
19845,52,No,33,266,57,25846,1038,2,32,1,15,9,Low,Manager,Yes
13320,44,Yes,23,1448,53,11737,1039,28,12,3,18,11,Very High,Sales Executive,No
6347,50,No,19,145,95,24920,1040,1,18,0,12,13,Very High,Sales Executive,No
2743,36,No,18,885,43,8269,1042,16,17,1,16,14,High,Laboratory Technician,Yes
10880,39,Yes,21,945,82,5083,1043,22,21,1,13,8,Very High,Manufacturing Director,No
2342,33,No,3,1038,88,21437,1044,8,2,0,19,2,Medium,Sales Representative,No
17650,45,No,26,1234,90,5404,1045,11,9,3,13,1,Very High,Manager,No
4025,32,No,10,1109,69,11135,1046,29,8,9,12,7,Very High,Laboratory Technician,No
9725,34,No,16,216,75,12278,1047,1,15,0,11,9,Medium,Sales Executive,No
11904,59,Yes,14,1089,66,11038,1048,1,6,3,14,4,Medium,Manager,No
2177,45,No,6,788,36,8318,1049,24,6,1,16,4,Medium,Human Resources,No
7525,53,No,30,124,38,23537,1050,2,15,2,12,12,High,Sales Executive,No
4834,36,No,9,660,81,7858,1052,15,1,7,14,0,Low,Laboratory Technician,Yes
2042,26,Yes,6,342,57,15346,1053,2,3,6,14,2,Low,Research Scientist,Yes
2220,34,Yes,1,1333,87,18410,1055,10,1,1,19,0,High,Sales Representative,No
1052,28,No,1,1144,74,23384,1056,10,1,1,22,0,Very High,Sales Representative,No
2821,38,No,8,1186,44,2997,1060,3,2,3,16,2,High,Research Scientist,No
19237,50,Yes,29,1464,62,12853,1061,2,8,2,11,7,Medium,Research Director,No
4107,37,No,8,124,35,13848,1062,3,4,3,15,1,Very High,Healthcare Representative,No
8396,40,No,8,300,74,22217,1066,26,7,1,14,5,High,Sales Executive,No
2007,26,No,5,921,66,25265,1068,1,5,1,13,3,Low,Research Scientist,No
19627,46,No,23,430,40,21445,1069,1,2,9,17,2,Very High,Research Director,No
10686,54,No,13,1082,41,8392,1070,2,9,6,11,0,High,Sales Executive,No
2942,56,No,18,1240,63,12154,1071,9,5,2,19,3,Low,Research Scientist,No
8858,36,No,15,796,51,15669,1073,12,14,0,11,8,Very High,Manufacturing Director,No
16756,55,No,31,444,40,17323,1074,2,9,7,15,2,High,Manager,No
10798,43,No,18,415,79,5268,1076,25,1,5,13,0,High,Sales Executive,No
2323,20,Yes,2,769,54,17205,1077,9,2,1,14,2,Very High,Sales Representative,Yes
1416,21,No,1,1334,36,17258,1079,10,1,1,13,0,High,Laboratory Technician,Yes
4615,46,Yes,19,1003,74,21029,1080,8,16,8,23,7,Very High,Research Scientist,No
2461,51,Yes,18,1323,34,10332,1081,4,10,9,12,7,Low,Research Scientist,Yes
8722,28,No,10,1366,72,12355,1082,24,10,1,12,9,Medium,Healthcare Representative,Yes
3955,26,No,6,192,59,11141,1083,1,5,1,16,3,Low,Laboratory Technician,No
9957,30,No,7,1176,85,9096,1084,20,6,0,15,2,High,Manufacturing Director,No
3376,41,No,10,509,43,18863,1085,7,10,1,13,8,Medium,Research Scientist,No
8823,38,No,20,330,65,24608,1088,17,19,0,18,9,High,Healthcare Representative,No
10322,40,No,14,1492,61,26542,1092,20,11,4,20,1,Low,Healthcare Representative,No
4621,27,No,3,1277,87,5869,1094,8,3,1,19,2,Low,Laboratory Technician,No
10976,55,No,23,1091,65,15813,1096,2,3,3,18,2,Very High,Manufacturing Director,No
3660,28,No,10,857,59,7909,1097,10,8,3,13,7,High,Research Scientist,No
10482,44,No,24,1376,91,2326,1098,1,20,9,14,6,Medium,Human Resources,Yes
7119,33,No,9,654,34,21214,1099,5,3,4,15,2,Very High,Healthcare Representative,No
9582,35,Yes,9,1204,86,10333,1100,4,8,0,22,7,Very High,Sales Executive,Yes
4508,33,No,14,827,54,3129,1101,29,13,1,22,8,Low,Research Scientist,Yes
2207,28,No,4,895,50,22482,1102,15,4,1,16,2,Low,Laboratory Technician,No
7756,34,No,7,618,45,22266,1103,3,6,0,17,4,Low,Healthcare Representative,No
6694,37,Yes,8,309,88,24223,1105,10,1,2,14,0,Very High,Sales Executive,No
3691,25,Yes,7,1219,32,4605,1106,4,7,1,15,6,Very High,Laboratory Technician,Yes
2377,26,No,1,1330,37,19373,1107,21,1,1,20,0,Low,Laboratory Technician,Yes
2313,33,Yes,5,1017,55,2993,1108,25,2,4,20,2,Low,Research Scientist,Yes
17665,42,No,23,469,35,14399,1109,2,22,0,17,7,Very High,Manager,No
2596,28,No,1,1009,45,7160,1111,1,1,1,15,0,Low,Laboratory Technician,Yes
4728,50,Yes,5,959,81,17251,1113,1,0,3,14,0,Very High,Sales Executive,Yes
4302,33,No,4,970,30,13401,1114,7,3,0,17,2,Very High,Sales Executive,No
2979,34,No,6,697,40,22478,1115,3,0,3,17,0,High,Research Scientist,No
16885,48,No,27,1262,35,16154,1116,1,5,2,22,1,Low,Manager,No
5593,45,No,15,1050,65,17970,1117,9,15,1,13,12,Medium,Sales Executive,No
10445,52,No,18,994,87,15322,1118,7,8,7,19,0,Medium,Healthcare Representative,No
8740,38,Yes,9,770,73,5569,1119,10,8,0,14,7,High,Sales Executive,No
2514,29,No,11,1107,93,26968,1120,28,7,4,22,7,High,Research Scientist,No
7655,28,No,10,950,93,8039,1121,3,9,0,17,7,Very High,Manufacturing Director,No
17465,46,No,23,406,52,15596,1124,3,12,3,12,9,Low,Manager,No
7351,38,No,10,130,32,20619,1125,2,1,7,16,0,Very High,Sales Executive,No
10820,43,No,18,1082,83,11535,1126,27,8,8,11,1,High,Manufacturing Director,No
12169,39,No,21,203,84,13547,1127,2,18,7,11,5,Low,Healthcare Representative,Yes
19626,40,No,21,1308,44,17544,1128,14,20,1,14,9,High,Research Director,No
2070,21,Yes,2,984,70,25326,1131,1,2,1,11,2,Very High,Research Scientist,No
6782,39,No,9,439,70,8770,1132,9,5,9,15,3,High,Laboratory Technician,No
7779,36,No,18,217,78,23238,1133,18,11,2,20,9,Low,Manufacturing Director,No
2791,31,No,3,793,67,21981,1135,20,2,0,12,2,High,Sales Representative,No
3201,28,No,6,1451,67,19911,1136,2,5,0,17,4,Low,Research Scientist,No
4968,35,No,5,1182,54,18500,1137,11,5,1,11,2,Very High,Sales Executive,No
13120,49,No,22,174,56,11879,1138,8,9,6,17,3,Very High,Sales Executive,No
4033,34,No,5,1003,95,15834,1140,2,3,2,11,2,Very High,Manufacturing Director,No
3291,29,No,8,490,61,17940,1143,10,7,0,14,1,Very High,Research Scientist,No
4272,42,No,16,188,56,9558,1148,29,1,4,19,0,Medium,Laboratory Technician,No
5056,29,Yes,10,718,79,17689,1150,8,10,1,15,2,Medium,Manufacturing Director,No
2844,38,No,7,433,37,6004,1152,1,7,1,13,0,High,Human Resources,No
2703,28,Yes,3,773,39,22088,1154,6,3,1,14,2,High,Research Scientist,No
1904,18,No,0,247,80,13556,1156,8,0,1,12,0,High,Laboratory Technician,Yes
8224,33,Yes,6,603,77,18385,1157,9,5,0,17,3,Low,Sales Executive,Yes
4766,41,Yes,6,167,46,9051,1158,12,1,3,11,0,Medium,Laboratory Technician,No
2610,31,No,2,874,72,6233,1160,15,2,1,12,2,High,Laboratory Technician,Yes
5731,37,No,9,367,52,17171,1161,25,6,7,13,3,High,Healthcare Representative,No
2539,27,No,4,199,55,7950,1162,6,4,1,13,2,Very High,Research Scientist,No
5714,34,No,6,1400,70,5829,1163,9,6,1,20,3,Medium,Sales Executive,No
4323,35,No,6,528,100,7108,1164,8,5,1,17,4,High,Human Resources,No
7336,29,No,11,408,45,11162,1165,23,11,1,13,10,Very High,Sales Executive,Yes
13499,40,No,20,593,88,13782,1166,9,18,9,17,13,Medium,Research Director,No
13758,42,Yes,22,481,44,2447,1167,12,21,0,12,14,High,Sales Executive,Yes
5155,42,No,9,647,45,2253,1171,4,6,7,13,5,Medium,Sales Executive,No
2258,35,No,10,982,58,16340,1172,1,8,6,12,7,Very High,Laboratory Technician,No
3597,24,No,6,477,49,6409,1173,24,4,8,22,2,Very High,Laboratory Technician,No
2515,28,Yes,1,1485,79,22955,1175,12,1,1,11,0,High,Laboratory Technician,Yes
4420,26,No,8,1384,82,13421,1177,3,8,1,22,7,Low,Laboratory Technician,No
6578,30,No,10,852,72,2706,1179,10,10,1,18,4,High,Sales Executive,No
4422,40,Yes,16,902,92,21203,1180,26,1,3,13,0,High,Research Scientist,No
10274,35,No,15,819,44,19588,1182,2,7,2,18,4,High,Manufacturing Director,No
5343,34,No,14,669,97,25755,1184,1,13,0,20,9,Very High,Healthcare Representative,No
2376,35,No,2,636,47,26537,1185,4,2,1,13,2,Very High,Laboratory Technician,No
5346,43,No,7,1372,85,9489,1188,9,4,8,13,3,Low,Sales Executive,Yes
2827,32,No,1,862,76,14947,1190,2,1,1,12,0,High,Sales Representative,No
19943,56,No,28,718,92,18575,1191,4,5,4,13,2,Very High,Manager,No
3131,29,No,10,1401,54,26342,1192,6,10,1,13,8,Medium,Laboratory Technician,No
2552,19,No,1,645,54,7172,1193,9,1,1,25,0,High,Research Scientist,No
4477,45,Yes,7,1457,83,20100,1195,7,3,4,19,2,Low,Research Scientist,No
6474,37,No,14,977,56,9961,1196,1,14,1,13,11,Very High,Manufacturing Director,No
3033,20,No,2,805,87,12828,1198,3,2,1,12,2,Low,Laboratory Technician,No
2936,44,Yes,6,1097,96,10826,1200,10,6,1,11,2,High,Research Scientist,Yes
18606,53,No,26,1223,50,18640,1201,7,7,3,18,7,Very High,Manager,No
2168,29,Yes,6,942,69,26933,1202,15,5,0,18,3,Medium,Research Scientist,No
2853,22,Yes,1,1256,48,4223,1203,3,0,0,11,0,High,Research Scientist,Yes
17048,46,No,28,1402,69,24097,1204,2,26,8,23,9,High,Manager,No
2290,44,No,6,111,74,4279,1206,17,0,2,13,0,Very High,Research Scientist,No
3600,33,No,5,147,99,8429,1207,2,5,1,13,4,Medium,Human Resources,No
2107,41,No,5,906,95,20293,1210,5,1,6,17,0,Low,Research Scientist,Yes
4115,30,No,8,1329,61,13192,1211,29,4,8,19,3,High,Sales Executive,No
4327,40,No,5,1184,62,25440,1212,2,0,5,12,0,Medium,Sales Executive,No
17856,50,No,32,1421,30,9490,1215,2,2,2,22,2,Very High,Manager,No
3196,28,No,6,1179,78,12449,1216,19,6,1,12,3,Very High,Laboratory Technician,No
19081,46,No,25,1450,52,10849,1217,15,4,5,11,3,Very High,Research Director,No
8966,35,Yes,15,1361,94,21026,1218,17,7,3,15,7,High,Sales Executive,No
2210,24,No,1,984,97,3372,1219,17,1,1,13,0,Very High,Laboratory Technician,Yes
4539,33,No,10,1146,82,4905,1220,25,10,1,12,1,Medium,Sales Executive,No
2741,36,No,7,917,60,6865,1221,6,7,1,14,7,High,Laboratory Technician,No
3491,30,No,10,853,49,11309,1224,7,10,1,13,9,High,Laboratory Technician,No
4541,44,No,20,200,32,7744,1225,29,20,1,25,17,Very High,Research Scientist,No
2678,20,No,2,654,43,5050,1226,21,2,1,17,2,High,Sales Representative,No
7379,46,No,12,150,60,17433,1228,2,6,2,11,4,Very High,Manufacturing Director,No
6272,42,No,10,179,79,12858,1231,2,4,7,16,3,Very High,Human Resources,No
5220,60,Yes,12,696,52,10893,1233,7,11,0,18,9,Medium,Sales Executive,No
2743,32,No,2,116,77,7331,1234,13,2,1,20,2,High,Laboratory Technician,No
4998,32,Yes,10,1316,38,2338,1235,2,8,4,14,7,Very High,Research Scientist,No
10252,36,Yes,17,363,77,4235,1237,1,7,2,21,7,High,Manufacturing Director,No
2781,33,No,15,117,60,6311,1238,9,14,0,13,10,Low,Research Scientist,No
6852,40,No,7,107,84,11591,1239,10,5,7,12,3,Medium,Sales Executive,No
4950,25,No,5,1356,57,20623,1240,10,4,0,14,1,High,Sales Executive,No
3579,30,Yes,12,1465,63,9369,1241,1,11,0,21,7,Very High,Research Scientist,No
13191,42,Yes,20,458,60,23281,1242,26,1,3,17,0,Low,Research Director,No
10377,35,Yes,16,1212,78,13755,1243,8,13,4,11,12,High,Sales Executive,No
2235,27,Yes,9,1103,42,14377,1244,14,9,1,14,8,Low,Research Scientist,No
10502,54,No,33,966,53,9659,1245,1,5,7,17,4,Very High,Manufacturing Director,No
2011,44,No,10,1117,72,19982,1246,2,10,1,13,7,Low,Research Scientist,No
1859,19,Yes,1,504,96,6148,1248,10,1,1,25,0,Low,Research Scientist,Yes
3760,29,No,3,1010,97,5598,1249,1,3,1,15,2,Low,Research Scientist,No
17779,54,No,36,685,85,23474,1250,3,10,3,14,9,Very High,Research Director,No
6833,31,Yes,6,1332,80,17089,1251,11,6,1,12,1,High,Healthcare Representative,No
6812,31,No,10,1062,96,17198,1252,24,10,1,19,8,High,Healthcare Representative,No
5171,59,No,13,326,48,16490,1254,3,6,5,17,5,High,Sales Executive,No
19740,43,No,25,920,96,18625,1255,3,8,3,14,7,High,Research Director,No
18711,49,No,23,1098,85,12124,1256,4,1,2,13,0,Low,Manager,No
3692,36,No,12,469,46,9256,1257,3,11,1,12,7,High,Research Scientist,No
2559,48,No,7,969,76,16620,1258,2,1,5,11,0,Very High,Laboratory Technician,No
2517,27,No,5,1167,76,3208,1259,4,5,1,11,3,Low,Research Scientist,No
6623,29,Yes,6,1329,82,4204,1260,7,6,1,11,0,High,Healthcare Representative,No
18265,48,No,25,715,76,8733,1263,1,1,6,12,0,Very High,Research Director,No
16124,29,No,9,694,87,3423,1264,1,7,3,14,7,Very High,Research Director,No
2585,34,No,2,1320,89,21643,1265,20,1,0,17,0,High,Research Scientist,No
18213,44,No,26,1099,88,8751,1267,5,22,7,11,10,Medium,Manager,No
8380,33,Yes,10,536,82,21708,1268,10,9,0,14,8,Very High,Sales Executive,No
2994,19,Yes,1,265,57,21221,1269,25,1,1,12,1,Medium,Research Scientist,No
1223,23,No,1,373,47,16901,1270,1,1,1,22,1,Very High,Research Scientist,No
1118,25,Yes,1,599,73,8040,1273,24,1,1,14,0,High,Sales Representative,Yes
2875,26,Yes,8,583,53,9973,1275,4,8,1,20,2,High,Research Scientist,No
18824,45,Yes,26,1449,94,2493,1277,2,24,2,16,11,Low,Manager,Yes
13577,55,Yes,34,177,37,25592,1278,8,33,1,15,0,Very High,Healthcare Representative,No
2625,21,No,2,251,45,25308,1279,10,2,1,20,2,Low,Laboratory Technician,Yes
18789,46,No,26,168,33,9946,1280,4,11,2,14,8,Very High,Manager,No
4538,34,Yes,4,131,86,6039,1281,2,3,0,12,2,High,Sales Executive,No
19847,51,Yes,31,237,83,19196,1282,9,29,4,24,10,Very High,Manager,No
10512,59,No,25,1429,67,20002,1283,18,9,6,12,4,Very High,Manufacturing Director,No
4444,34,No,15,135,46,22534,1285,19,11,4,13,10,High,Laboratory Technician,No
2154,28,Yes,5,791,44,6842,1286,1,4,0,11,2,Very High,Laboratory Technician,No
19190,44,No,26,1199,92,17477,1288,4,25,1,14,13,High,Manager,No
4490,34,No,14,648,56,21833,1289,11,10,4,11,8,High,Human Resources,No
3506,35,Yes,4,735,66,6020,1291,6,3,0,14,2,High,Research Scientist,No
2372,42,Yes,18,603,78,5628,1292,7,1,6,16,0,Medium,Research Scientist,No
10231,43,No,23,531,56,20364,1293,4,21,3,14,17,Very High,Sales Executive,No
5410,36,Yes,18,429,53,2323,1294,2,16,9,11,12,High,Manufacturing Director,No
7978,44,No,10,621,73,14075,1295,15,10,1,11,5,Low,Healthcare Representative,Yes
3867,28,Yes,2,193,52,14222,1296,2,2,1,12,2,Very High,Laboratory Technician,No
2838,51,No,8,968,40,4257,1297,6,7,0,14,7,Medium,Laboratory Technician,No
4695,30,Yes,10,879,72,12858,1298,9,8,7,18,7,High,Manufacturing Director,No
3339,29,Yes,10,806,39,17285,1299,7,7,3,13,7,Medium,Laboratory Technician,Yes
2080,28,No,5,640,84,4732,1301,1,3,2,11,2,Very High,Research Scientist,No
2096,25,No,2,266,40,18830,1303,1,2,1,18,1,Very High,Research Scientist,No
6209,32,No,10,604,56,11693,1304,8,10,1,15,8,High,Sales Executive,No
18061,45,No,22,364,83,13035,1306,25,0,3,22,0,Medium,Manager,No
17123,39,Yes,21,412,94,17334,1307,13,19,6,13,2,High,Manager,No
2372,58,No,2,848,88,26076,1308,23,2,1,12,2,Low,Research Scientist,No
4883,32,No,10,1089,79,22845,1309,7,10,1,18,1,Very High,Laboratory Technician,Yes
3904,39,No,6,360,93,22154,1310,23,5,0,13,3,High,Research Scientist,Yes
4627,30,No,10,1138,48,23631,1311,6,9,0,12,7,Low,Laboratory Technician,No
7094,36,No,10,325,63,5747,1312,10,7,3,12,7,Very High,Healthcare Representative,No
3423,46,No,10,991,44,22957,1314,1,7,6,12,7,Very High,Human Resources,No
6674,28,No,10,1476,55,16392,1315,1,9,0,11,5,High,Laboratory Technician,No
16880,50,Yes,25,1322,43,22422,1317,28,3,4,11,2,Very High,Research Director,No
9094,40,Yes,9,299,57,17235,1318,25,5,2,12,0,Very High,Sales Executive,Yes
8446,52,Yes,10,1030,64,21534,1319,5,8,9,19,7,Medium,Sales Executive,Yes
11916,30,Yes,9,634,95,25927,1321,17,9,1,23,8,Medium,Manager,No
4534,39,No,9,524,32,13352,1322,18,8,0,11,7,Low,Manufacturing Director,No
9852,31,Yes,10,587,57,8935,1324,2,10,1,19,6,Very High,Sales Executive,No
6151,41,No,19,256,40,22074,1329,10,19,1,13,9,High,Sales Executive,No
2302,31,Yes,3,1060,54,8319,1331,1,3,1,11,2,Very High,Sales Representative,Yes
2362,44,No,10,935,89,14669,1333,3,3,4,12,2,Low,Laboratory Technician,Yes
17861,42,Yes,21,495,37,26582,1334,2,20,0,13,10,High,Manager,No
19187,55,No,23,282,58,6992,1336,2,19,4,14,11,Very High,Manager,No
19717,56,No,36,206,99,4022,1338,8,7,6,14,7,Very High,Manager,No
3544,40,No,6,458,74,8532,1340,16,4,9,16,0,High,Research Scientist,No
8500,34,No,10,943,86,5494,1344,9,9,0,11,6,Very High,Healthcare Representative,No
4661,40,No,9,523,98,22455,1346,2,9,1,13,8,High,Research Scientist,No
4103,41,No,10,1018,66,4297,1349,1,9,0,17,7,High,Sales Executive,No
4249,35,Yes,9,482,87,2690,1350,4,9,1,11,1,High,Research Scientist,No
14026,51,Yes,33,770,84,17588,1352,5,33,1,11,10,High,Manager,No
6893,38,No,11,1009,31,19461,1355,2,7,3,15,7,Medium,Sales Executive,No
6125,34,No,10,507,66,23553,1356,15,10,1,12,6,High,Sales Executive,No
3669,25,No,7,882,67,9075,1358,19,3,3,11,2,Very High,Laboratory Technician,No
10008,58,Yes,31,601,53,12023,1360,7,10,7,14,9,High,Manufacturing Director,Yes
2387,40,No,7,329,88,6762,1361,1,4,3,22,3,Medium,Laboratory Technician,No
4639,36,No,17,607,83,2261,1362,7,15,2,16,13,Low,Sales Executive,No
7898,48,No,11,855,54,18706,1363,4,10,1,11,8,Very High,Manufacturing Director,No
2534,27,No,5,1291,98,6527,1364,11,1,8,14,0,High,Sales Representative,No
13142,51,No,29,1405,82,24439,1367,11,5,3,16,3,Very High,Manufacturing Director,No
1611,18,No,0,1124,97,19305,1368,1,0,1,15,0,Very High,Laboratory Technician,No
5363,35,No,10,817,60,10846,1369,1,9,0,12,0,Very High,Laboratory Technician,No
5071,27,No,8,793,43,20392,1371,2,6,3,20,0,Very High,Sales Executive,No
13695,55,Yes,24,267,85,9277,1372,13,19,6,17,8,Low,Sales Executive,Yes
13402,56,Yes,33,1369,68,18235,1373,23,19,4,12,9,Very High,Manufacturing Director,No
2029,34,No,5,999,92,15891,1374,26,5,1,20,0,Low,Research Scientist,No
6377,40,No,15,1202,89,13888,1375,2,12,5,20,8,Medium,Healthcare Representative,No
5429,34,No,10,285,86,17491,1377,29,8,4,13,7,Medium,Laboratory Technician,No
2785,31,No,3,703,90,11882,1379,2,1,7,14,0,High,Sales Representative,Yes
4614,35,Yes,5,662,67,23288,1380,18,4,0,18,2,Very High,Sales Executive,Yes
2610,38,No,4,693,57,15748,1382,7,4,1,11,3,Very High,Research Scientist,No
6687,34,No,14,404,98,6163,1383,2,14,1,11,11,High,Healthcare Representative,No
